,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.5958254269449715,0.4250474383301708,0.4667931688804554,0.6148007590132827,0.7343453510436433,0.6015180265654649,0.6261859582542695,0.5370018975332068,0.5787476280834914,0.5939278937381404
5,0.6110056925996205,0.4174573055028463,0.5578747628083491,0.6072106261859582,0.7324478178368121,0.618595825426945,0.6242884250474383,0.5863377609108159,0.5882352941176471,0.5977229601518027
10,0.6110056925996205,0.47058823529411764,0.5977229601518027,0.6318785578747628,0.7552182163187856,0.6166982922201139,0.6432637571157496,0.5977229601518027,0.603415559772296,0.5977229601518027
15,0.6148007590132827,0.4307400379506641,0.603415559772296,0.6261859582542695,0.7514231499051234,0.618595825426945,0.7039848197343453,0.6015180265654649,0.603415559772296,0.6072106261859582
20,0.6925996204933587,0.5901328273244781,0.618595825426945,0.7647058823529411,0.7647058823529411,0.7020872865275142,0.7893738140417458,0.6204933586337761,0.7362428842504743,0.6091081593927894
25,0.7666034155597723,0.5901328273244781,0.7741935483870968,0.7893738140417458,0.7703984819734345,0.7760910815939279,0.8007590132827325,0.7685009487666035,0.7609108159392789,0.7590132827324478
30,0.7798861480075902,0.6489563567362429,0.777988614800759,0.7988614800759013,0.7855787476280834,0.7874762808349146,0.8045540796963947,0.7798861480075902,0.7722960151802657,0.7590132827324478
