,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.2049335863377609,0.17647058823529413,0.09487666034155598,0.2314990512333966,0.20872865275142316,0.2656546489563567,0.2732447817836812,0.2030360531309298,0.25616698292220114,0.3567362428842505
5,0.3415559772296015,0.3510436432637571,0.3889943074003795,0.349146110056926,0.34535104364326374,0.3984819734345351,0.42125237191650855,0.48007590132827327,0.34724857685009486,0.3776091081593928
10,0.349146110056926,0.34535104364326374,0.5370018975332068,0.34724857685009486,0.34535104364326374,0.5502846299810247,0.44022770398481975,0.3396584440227704,0.34724857685009486,0.34345351043643263
15,0.34535104364326374,0.34535104364326374,0.4838709677419355,0.34535104364326374,0.34535104364326374,0.4819734345351044,0.5825426944971537,0.349146110056926,0.3510436432637571,0.34345351043643263
