,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.32677165354330706,0.36220472440944884,0.421259842519685,0.4566929133858268,0.2559055118110236,0.49606299212598426,0.4921259842519685,0.4921259842519685,0.29133858267716534,0.4094488188976378
5,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.6653543307086615,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
10,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
15,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
