,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011
15,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011
