,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.48956356736242884,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374
5,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.48956356736242884,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374
10,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.41935483870967744,0.34535104364326374,0.3510436432637571,0.34535104364326374,0.34535104364326374,0.34535104364326374
15,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.4573055028462998,0.3738140417457306,0.36432637571157495,0.34535104364326374,0.34535104364326374,0.34535104364326374
20,0.3586337760910816,0.34535104364326374,0.34724857685009486,0.34535104364326374,0.36622390891840606,0.4174573055028463,0.4364326375711575,0.34724857685009486,0.34724857685009486,0.34724857685009486
