,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.5749525616698292,0.5597722960151803,0.5996204933586338,0.603415559772296,0.571157495256167,0.5996204933586338,0.603415559772296,0.5901328273244781,0.5825426944971537,0.5863377609108159
5,0.5787476280834914,0.5787476280834914,0.5882352941176471,0.573055028462998,0.5958254269449715,0.5977229601518027,0.5939278937381404,0.5920303605313093,0.5825426944971537,0.5825426944971537
10,0.5844402277039848,0.5768500948766604,0.6053130929791272,0.6223908918406073,0.6053130929791272,0.6072106261859582,0.6261859582542695,0.5939278937381404,0.5939278937381404,0.5863377609108159
15,0.5939278937381404,0.5825426944971537,0.6110056925996205,0.6261859582542695,0.603415559772296,0.6110056925996205,0.6318785578747628,0.5996204933586338,0.5882352941176471,0.5882352941176471
20,0.5958254269449715,0.5863377609108159,0.6204933586337761,0.6489563567362429,0.6072106261859582,0.6318785578747628,0.6337760910815939,0.6148007590132827,0.6015180265654649,0.5901328273244781
25,0.5920303605313093,0.5863377609108159,0.6451612903225806,0.6432637571157496,0.7077798861480076,0.6413662239089184,0.650853889943074,0.6261859582542695,0.5958254269449715,0.5920303605313093
30,0.5958254269449715,0.5901328273244781,0.6470588235294118,0.650853889943074,0.7552182163187856,0.6375711574952562,0.650853889943074,0.6280834914611005,0.6148007590132827,0.5920303605313093
