,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.7855787476280834,0.7590132827324478,0.7343453510436433,0.8064516129032258,0.7893738140417458,0.7855787476280834,0.8045540796963947,0.8007590132827325,0.8026565464895635,0.7096774193548387
5,0.7969639468690702,0.7760910815939279,0.8045540796963947,0.8083491461100569,0.7950664136622391,0.7988614800759013,0.8064516129032258,0.8102466793168881,0.7874762808349146,0.7381404174573055
10,0.7950664136622391,0.7703984819734345,0.8121442125237192,0.8045540796963947,0.8007590132827325,0.7950664136622391,0.8083491461100569,0.8102466793168881,0.8045540796963947,0.7362428842504743
15,0.8007590132827325,0.7798861480075902,0.8121442125237192,0.8064516129032258,0.8007590132827325,0.7893738140417458,0.8083491461100569,0.8121442125237192,0.8007590132827325,0.7514231499051234
20,0.7969639468690702,0.7798861480075902,0.8121442125237192,0.8007590132827325,0.8007590132827325,0.7969639468690702,0.8064516129032258,0.8121442125237192,0.8064516129032258,0.7495256166982922
25,0.7969639468690702,0.7817836812144212,0.8121442125237192,0.8083491461100569,0.8007590132827325,0.8026565464895635,0.8026565464895635,0.8121442125237192,0.8064516129032258,0.7571157495256167
30,0.8007590132827325,0.7912713472485768,0.8121442125237192,0.8083491461100569,0.8007590132827325,0.8064516129032258,0.8083491461100569,0.8121442125237192,0.8045540796963947,0.7609108159392789
35,0.7969639468690702,0.7893738140417458,0.8121442125237192,0.8121442125237192,0.8007590132827325,0.8064516129032258,0.8083491461100569,0.8121442125237192,0.8064516129032258,0.7533206831119544
40,0.7969639468690702,0.8007590132827325,0.8121442125237192,0.8102466793168881,0.8007590132827325,0.8064516129032258,0.8083491461100569,0.8121442125237192,0.8083491461100569,0.7647058823529411
