,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.7007874015748031,0.5590551181102362,0.7007874015748031,0.7007874015748031,0.7952755905511811,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
5,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,1.0,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
10,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,1.0,0.7007874015748031,1.0,0.7007874015748031,0.7007874015748031,0.7007874015748031
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
