,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.016042780748663103,0.026737967914438502,0.026737967914438502,0.026737967914438502,0.016042780748663103,0.016042780748663103,0.016042780748663103,0.016042780748663103,0.016042780748663103,0.016042780748663103
15,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134,0.6898395721925134
20,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011
