,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.8064516129032258,0.7609108159392789,0.8102466793168881,0.8045540796963947,0.7950664136622391,0.7950664136622391,0.8083491461100569,0.8102466793168881,0.8026565464895635,0.7609108159392789
5,0.8102466793168881,0.7741935483870968,0.8121442125237192,0.7969639468690702,0.8026565464895635,0.7893738140417458,0.8083491461100569,0.8083491461100569,0.7912713472485768,0.7609108159392789
10,0.8083491461100569,0.7836812144212524,0.8102466793168881,0.8083491461100569,0.8026565464895635,0.7969639468690702,0.8026565464895635,0.8121442125237192,0.8045540796963947,0.7666034155597723
15,0.8102466793168881,0.7817836812144212,0.8121442125237192,0.8121442125237192,0.8026565464895635,0.7969639468690702,0.8007590132827325,0.8102466793168881,0.8026565464895635,0.7703984819734345
20,0.8102466793168881,0.7855787476280834,0.8121442125237192,0.8064516129032258,0.8026565464895635,0.793168880455408,0.8045540796963947,0.8121442125237192,0.8045540796963947,0.7703984819734345
25,0.8121442125237192,0.777988614800759,0.8083491461100569,0.8064516129032258,0.7988614800759013,0.8083491461100569,0.8083491461100569,0.8121442125237192,0.8045540796963947,0.7760910815939279
30,0.8121442125237192,0.7893738140417458,0.8102466793168881,0.8083491461100569,0.8026565464895635,0.8102466793168881,0.8083491461100569,0.8102466793168881,0.8102466793168881,0.7741935483870968
35,0.8121442125237192,0.7893738140417458,0.8121442125237192,0.8083491461100569,0.8026565464895635,0.7950664136622391,0.8083491461100569,0.8121442125237192,0.8083491461100569,0.777988614800759
40,0.8121442125237192,0.7893738140417458,0.8083491461100569,0.8083491461100569,0.8140417457305503,0.8102466793168881,0.8083491461100569,0.8121442125237192,0.8083491461100569,0.7855787476280834
