,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.8159392789373814,0.7969639468690702,0.8121442125237192,0.8349146110056926,0.8330170777988615,0.8102466793168881,0.8045540796963947,0.8102466793168881,0.8140417457305503,0.8083491461100569
5,0.8121442125237192,0.8102466793168881,0.8083491461100569,0.8197343453510436,0.8368121442125237,0.8121442125237192,0.8311195445920304,0.8102466793168881,0.825426944971537,0.8235294117647058
10,0.8140417457305503,0.8102466793168881,0.8083491461100569,0.8273244781783681,0.8292220113851992,0.8121442125237192,0.8273244781783681,0.8140417457305503,0.8121442125237192,0.8235294117647058
15,0.8235294117647058,0.8102466793168881,0.8083491461100569,0.8292220113851992,0.8462998102466793,0.8121442125237192,0.8216318785578748,0.8102466793168881,0.8121442125237192,0.8197343453510436
20,0.8197343453510436,0.8121442125237192,0.8102466793168881,0.8292220113851992,0.8500948766603416,0.8121442125237192,0.8235294117647058,0.8102466793168881,0.8368121442125237,0.8311195445920304
25,0.825426944971537,0.8121442125237192,0.8102466793168881,0.8462998102466793,0.8538899430740038,0.8121442125237192,0.8197343453510436,0.8102466793168881,0.8197343453510436,0.825426944971537
30,0.8292220113851992,0.8121442125237192,0.8102466793168881,0.8500948766603416,0.8538899430740038,0.8159392789373814,0.8273244781783681,0.8121442125237192,0.8292220113851992,0.8330170777988615
35,0.8159392789373814,0.8121442125237192,0.8102466793168881,0.8538899430740038,0.857685009487666,0.8273244781783681,0.8292220113851992,0.8102466793168881,0.8197343453510436,0.825426944971537
40,0.825426944971537,0.8121442125237192,0.8102466793168881,0.8349146110056926,0.8519924098671727,0.8197343453510436,0.8349146110056926,0.8102466793168881,0.8444022770398482,0.8292220113851992
45,0.8330170777988615,0.8121442125237192,0.8102466793168881,0.8538899430740038,0.8538899430740038,0.8292220113851992,0.8406072106261859,0.8102466793168881,0.8349146110056926,0.857685009487666
50,0.825426944971537,0.8121442125237192,0.8121442125237192,0.8481973434535104,0.857685009487666,0.8216318785578748,0.8368121442125237,0.8140417457305503,0.8444022770398482,0.8330170777988615
