,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.7007874015748031,0.6456692913385826,0.7007874015748031,0.7007874015748031,0.7952755905511811,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
5,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.9488188976377953,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
10,0.889763779527559,0.9606299212598425,0.8464566929133859,1.0,1.0,0.8661417322834646,1.0,0.9291338582677166,0.9724409448818898,0.9763779527559056
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
