,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.031496062992125984,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.031496062992125984,0.0,0.0
5,0.5787401574803149,0.5590551181102362,0.5511811023622047,0.5708661417322834,0.49606299212598426,0.5236220472440944,0.5708661417322834,0.547244094488189,0.6496062992125984,0.6456692913385826
10,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
15,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
20,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031,0.7007874015748031
