,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.6951871657754011
5,0.6951871657754011,0.839572192513369,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.8128342245989305,0.6951871657754011,0.6951871657754011,0.6951871657754011,0.3048128342245989
10,0.7700534759358288,0.839572192513369,0.7272727272727273,0.8449197860962567,0.7058823529411765,0.8021390374331551,0.6951871657754011,0.6951871657754011,0.839572192513369,0.5882352941176471
15,0.8288770053475936,0.839572192513369,0.7219251336898396,0.839572192513369,0.9786096256684492,0.839572192513369,0.6951871657754011,0.6951871657754011,0.8288770053475936,0.7967914438502673
20,0.8342245989304813,0.839572192513369,0.7486631016042781,0.839572192513369,0.983957219251337,0.839572192513369,0.839572192513369,0.7058823529411765,0.839572192513369,0.8235294117647058
