,raspi0,raspi1,raspi2,raspi3,raspi4,raspi5,raspi6,raspi7,raspi8,raspi9
0,0.23529411764705882,0.2314990512333966,0.34345351043643263,0.24667931688804554,0.3757115749525617,0.2713472485768501,0.3187855787476281,0.20113851992409867,0.22770398481973433,0.40417457305502846
5,0.34535104364326374,0.24667931688804554,0.34535104364326374,0.24667931688804554,0.3908918406072106,0.38140417457305503,0.33396584440227706,0.34535104364326374,0.2523719165085389,0.4573055028462998
10,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.48956356736242884,0.5483870967741935,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374
15,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.48956356736242884,0.3870967741935484,0.34535104364326374,0.34535104364326374,0.34535104364326374,0.34535104364326374
